,,,,,,,,String Pot #1/Mid disp,,,String Pot #2/Mid disp,,,Strain Gages (ue),,,,,,
,,,,,,,,,,0.944,,,0.944,1,2,3,,4,5,6
Time,1.0000,,Loading step,Load,Loading (lb),LC,,Sting Pot,,Displacement (in),String Pot,,Displacement (in),Ext Bot,Int Top,Int Bot,Int Shear,Int Bot,Int Shear 2,Ext Top
12/22/2015 14:51:53.715,0.0000,,0,165,0,0.003309,0,8.779344,0,0,8.779344,0,0,-0.000004,0,0.000001,0,0.000001,0,-0.000001
12/22/2015 14:51:54.713,0.0000,53,x,180,-15,0.00335,0.000001,8.779322,-2.2E-05,-2.33051E-05,8.779322,-2.2E-05,-2.33051E-05,-0.000003,-0.000001,0.000001,0,0.000002,0.000001,-0.000002
12/22/2015 14:51:55.712,0.0000,,x,196,-31,0.004055,0.000004,8.779262,-8.2E-05,-8.68644E-05,8.779262,-8.2E-05,-8.68644E-05,0,-0.000004,0.000004,0.000001,0.000004,0,-0.000005
12/22/2015 14:51:56.710,0.0000,,x,211,-46,0.000285,0.000008,8.778771,-0.000573,-0.000606992,8.778771,-0.000573,-0.000606992,0.000004,-0.000008,0.000008,0.000001,0.000008,0,-0.000011
12/22/2015 14:51:57.725,0.0000,,x,227,-62,0.003615,0.000009,8.778541,-0.000803,-0.000850636,8.778541,-0.000803,-0.000850636,0.000005,-0.000008,0.000008,0.000001,0.000009,0,-0.000011
12/22/2015 14:51:58.723,0.0000,,x,242,-77,0.002409,0.000008,8.778566,-0.000778,-0.000824153,8.778566,-0.000778,-0.000824153,0.000004,-0.000007,0.000007,0.000001,0.000008,0,-0.00001
12/22/2015 14:51:59.706,0.0000,,x,258,-93,0.001609,0.000008,8.778541,-0.000803,-0.000850636,8.778541,-0.000803,-0.000850636,0.000004,-0.000007,0.000007,0.000001,0.000008,0,-0.00001
12/22/2015 14:52:00.704,0.0000,,x,273,-108,0.002795,0.000008,8.778632,-0.000712,-0.000754237,8.778632,-0.000712,-0.000754237,0.000004,-0.000007,0.000007,0.000001,0.000008,0,-0.00001
12/22/2015 14:52:01.702,0.0000,,x,289,-124,-0.000889,0.000008,8.778597,-0.000747,-0.000791314,8.778597,-0.000747,-0.000791314,0.000004,-0.000008,0.000007,0.000001,0.000008,0,-0.00001
12/22/2015 14:52:02.701,0.0000,,x,304,-139,0.0015,0.000008,8.778547,-0.000797,-0.00084428,8.778547,-0.000797,-0.00084428,0.000004,-0.000007,0.000007,0.000001,0.000008,0,-0.00001
12/22/2015 14:52:03.715,0.0000,,x,320,-155,0.003261,0.000008,8.77855,-0.000794,-0.000841102,8.77855,-0.000794,-0.000841102,0.000004,-0.000008,0.000007,0.000001,0.000008,0,-0.00001
12/22/2015 14:52:04.714,0.0000,,x,335,-170,0.000346,0.000008,8.778572,-0.000772,-0.000817797,8.778572,-0.000772,-0.000817797,0.000004,-0.000007,0.000007,0.000001,0.000008,0,-0.00001
12/22/2015 14:52:05.712,0.0000,,x,351,-186,-0.00197,0.000008,8.778575,-0.000769,-0.000814619,8.778575,-0.000769,-0.000814619,0.000004,-0.000008,0.000007,0.000001,0.000008,0,-0.00001
12/22/2015 14:52:06.726,0.0000,,x,366,-201,0.003873,0.000008,8.778601,-0.000743,-0.000787076,8.778601,-0.000743,-0.000787076,0.000004,-0.000008,0.000007,0.000001,0.000008,0,-0.00001
12/22/2015 14:52:07.723,0.0000,,x,381,-216,0.004234,0.000008,8.778632,-0.000712,-0.000754237,8.778632,-0.000712,-0.000754237,0.000004,-0.000007,0.000007,0.000001,0.000008,0,-0.00001
12/22/2015 14:52:08.707,0.0000,,x,397,-232,-0.00137,0.000008,8.778575,-0.000769,-0.000814619,8.778575,-0.000769,-0.000814619,0.000004,-0.000007,0.000007,0.000001,0.000008,0,-0.00001
12/22/2015 14:52:09.722,0.0000,,x,412,-247,0.003121,0.000008,8.778585,-0.000759,-0.000804025,8.778585,-0.000759,-0.000804025,0.000004,-0.000007,0.000007,0.000001,0.000007,0,-0.00001
12/22/2015 14:52:10.771,0.0000,,x,428,-263,0.001806,0.000007,8.778718,-0.000626,-0.000663136,8.778718,-0.000626,-0.000663136,0.000003,-0.000007,0.000007,0.000001,0.000007,0,-0.00001
12/22/2015 14:52:11.733,0.0000,,x,443,-278,-0.001029,0.000008,8.778544,-0.0008,-0.000847458,8.778544,-0.0008,-0.000847458,0.000004,-0.000007,0.000007,0.000001,0.000007,0,-0.00001
12/22/2015 14:52:12.717,0.0000,,x,459,-294,0.003695,0.000008,8.778601,-0.000743,-0.000787076,8.778601,-0.000743,-0.000787076,0.000004,-0.000007,0.000007,0,0.000008,0,-0.00001
12/22/2015 14:52:13.736,0.0000,,x,474,-309,-0.000557,0.000008,8.778591,-0.000753,-0.000797669,8.778591,-0.000753,-0.000797669,0.000004,-0.000008,0.000007,0.000001,0.000008,0,-0.00001
12/22/2015 14:52:14.744,0.0000,,x,490,-325,-0.001259,0.000008,8.778794,-0.00055,-0.000582627,8.778794,-0.00055,-0.000582627,0.000004,-0.000008,0.000007,0.000001,0.000008,0,-0.00001
12/22/2015 14:52:15.742,0.0000,,x,505,-340,0.002058,0.000008,8.778752,-0.000592,-0.000627119,8.778752,-0.000592,-0.000627119,0.000004,-0.000008,0.000007,0,0.000008,0,-0.00001
12/22/2015 14:52:16.725,0.0000,,x,521,-356,0.001066,0.000008,8.778632,-0.000712,-0.000754237,8.778632,-0.000712,-0.000754237,0.000004,-0.000008,0.000007,0,0.000008,0,-0.00001
12/22/2015 14:52:17.739,0.0000,,x,536,-371,-0.000681,0.000008,8.77874,-0.000604,-0.000639831,8.77874,-0.000604,-0.000639831,0.000004,-0.000007,0.000007,0.000001,0.000008,0,-0.00001
12/22/2015 14:52:18.753,0.0000,,x,552,-387,0.001545,0.000008,8.778847,-0.000497,-0.000526483,8.778847,-0.000497,-0.000526483,0.000004,-0.000008,0.000007,0.000001,0.000008,0,-0.00001
12/22/2015 14:52:19.786,0.0000,,x,567,-402,-0.001198,0.000008,8.778828,-0.000516,-0.00054661,8.778828,-0.000516,-0.00054661,0.000004,-0.000008,0.000007,0,0.000008,0,-0.00001
12/22/2015 14:52:20.750,0.0000,,x,583,-418,0.004307,0.000008,8.778907,-0.000437,-0.000462924,8.778907,-0.000437,-0.000462924,0.000004,-0.000008,0.000007,0.000001,0.000008,0,-0.00001
12/22/2015 14:52:21.747,0.0000,,x,598,-433,-0.00146,0.000008,8.779009,-0.000335,-0.000354873,8.779009,-0.000335,-0.000354873,0.000004,-0.000008,0.000007,0.000001,0.000008,0,-0.00001
12/22/2015 14:52:22.746,0.0000,,x,613,-448,0.000365,0.000008,8.778936,-0.000408,-0.000432203,8.778936,-0.000408,-0.000432203,0.000004,-0.000007,0.000007,0.000001,0.000007,0,-0.00001
